Username,Text,language,retweet_count,Time,location
nayebsadegh,Only an idiot would think the followers &amp; likes of the so-called Iranian opposition are REAL. #HosseinRonaghi &amp; his right wing ideological cohorts are nothing but fake CIA+Saudi-propped up crooks &amp; shysters. https://t.co/prL8zpkk57 https://t.co/bllA4iQeJE,en,0,2022-12-15 09:38:25+00:00,
nayebsadegh,Only an idiot would think the followers &amp; likes of the so-called Iranian opposition are REAL. #HosseinRonaghi &amp; his right wing ideological cohorts are nothing by fake CIA-propped up crooks &amp; shysters. https://t.co/prL8zp2IGx https://t.co/FczOn4P7c3,en,0,2022-12-15 09:37:39+00:00,
dammatoosa,@HosseinRonaghi We have to solve the problem from the bottom up.  NIAC is not our voice 👊🏻   #HosseinRonaghi   #ToomajSalehi,en,0,2022-12-15 09:35:31+00:00,
bluelikesun,@jabdi @NIACouncil You are a murder of the Islamic Republic Iran! That’s fact! Shame on you!!! #freeiran #HosseinRonaghi #mahsaamini,en,0,2022-12-15 09:07:05+00:00,
lillydevally,@langloisajl @marcowenjones Who are you? Who the hell are you that you feel you can talk about #HosseinRonaghi like this?! You have never been in jail one day or even one hour for people of Iran… so respect yourself and keep tour opinions for yourself…,en,0,2022-12-15 08:22:11+00:00,
solysolz,@langloisajl @marcowenjones Did you just call #hosseinronaghi a bad faith actor? Lol. Everything you say after that is completely invalid. Be gone please. No one is asking for a dumb white guy savior.,en,2,2022-12-15 07:25:57+00:00,Silicon Valley 
khaharenegar,#kymyatehrani ask @UNICEF_IRAN @UNICEF; why you are silent? #Kian_Pirfalak #کیان_پیرفلک    #IranRevoIution2022 #OpIran #MahsaAmini #Saman_Yassin #ToomajSalehi #HosseinRonaghi https://t.co/OoAcSeWNsh,en,4,2022-12-15 07:03:02+00:00,
NimaMorshed,"@yarbatman Perhaps you ought to publicly denounce the Islamic Republic as murderers and not Iranian. You denounce 43 years of tyranny and publicly state your wish to remove the Islamic Republic. As it stands, Mr. Ronaghi has credibility, you do not. #HosseinRonaghi",en,0,2022-12-15 05:23:28+00:00,right side of history
M3Raanaa,@tparsi Hey daily dose if tweets for you and @marcowenjones #MahsaAmini #hossein_broghani #hosseinronaghi #IranRevoIution #WomenLifeFreedom,en,0,2022-12-15 04:51:46+00:00,
vrtuallyme,"this look exactly like that video of #HosseinRonaghi, none of these “governments” actually care about their people. they just want power &amp; it’s horrifying https://t.co/bHvDOm8wrl",en,0,2022-12-15 04:37:58+00:00,📍naarm / melb
royamferei,@langloisajl @marcowenjones Did you just call #hosseinronaghi a bad faith actor? Lol. Everything you say after that is completely invalid. Be gone please. No one is asking for a dumb white guy savior.,en,2,2022-12-15 04:37:06+00:00,
fight4rights84,@NIACouncil #MajidTavakoli end #HosseinRonaghi are currently detained in #EvinPrison and always viewed NIAC as the regime’s propaganda in the US. https://t.co/DhVIi46wue https://t.co/v4x3G9wfu2,en,22,2022-12-15 04:00:30+00:00,Tehran
FreeIranPeople1,"@raminGN @marcowenjones If you put that picture as your profile and call #HosseinRonaghi speaking out under drug influence, your #قاسم_چک is likely positive. #IranLobby",en,0,2022-12-15 03:50:21+00:00,
NAghvami,U know nothing about this terrorist regime and their followers in Iran.   I suggest you shut your f@&amp;#% mouth!U r in no position to talk about #HosseinRonaghi or for that matter about any freedom fighters in Iran or around the world!  #MahsaAmini  #IranRevoIution https://t.co/Fm9Him397Y,en,0,2022-12-15 03:49:10+00:00,"Los Angeles, CA"
RoxieKhos,@NIACouncil Shut up! You are the arm of the murderous IR in US. NIAC is not the Iranian people representative. NIAC represents the murderous regime. DON'T even repeat #HosseinRonaghi 's name in your filthy mind.  #IranRevolution2022,en,0,2022-12-15 03:45:04+00:00,
siavashjafarii,"This tweet from #HosseinRonaghi is beyond bizarre!    I am starting to believe that this account is managed by the hardline/IRGC intelligence affiliates to discredit and cancel moderate and pro-diplomacy voices in the West!    And as usual, they are unprofessional and super shallow! https://t.co/ytXpejPNTr",en,1,2022-12-15 03:19:25+00:00,"Vancouver, British Columbia"
FreeIranPeople1,@yarbatman Stop threatening #HosseinRonaghi for including you in the list. Anyone who lives in the US knows that USA does not perform like your beloved IR regime. They are plenty of evidences for what he says and we all gladly stand as witnesses #IranLobby,en,0,2022-12-15 02:53:20+00:00,
fafar3456,"Thanks @JakeSullivan46 for stating the U.S. concern over mass arrests and death sentences of protesters in #Iran &amp; also the welfare of our activist #HosseinRonaghi.  Please put sanctions on the 227 Iran Parliment members who advocate death sentences for 14,000 arrested protesters. https://t.co/HvsK3SioR6",en,462,2022-12-15 02:20:19+00:00,
Hoopoe777,@IOPHRpress @NazaninBoniadi @NazaninAJ @drninaansary @AlirezaNader @UN @UNHumanRights @Europarl_EN @UKParliament @Omid_M @EUCouncil UN Help! #StopExecutionInIran #MahsaAmini   #IranRevolution2022 @UN_HRC   #ElnazRekabi #OpIran #WomanLifeFreedoom #ToomajSalehi #HosseinRonaghi @volker_turk @CBC @CBCStephenQuinn @JustinTrudeau @GlobalBC @nationalpost @globeandmail #KhameneiChildKiller #KianPirfalak,en,4,2022-12-15 01:57:55+00:00,
arashtavak,"All of these people tagged by #HosseinRonaghi are replying to him left and right, meanwhile nobody can reply to their tweets. Almost all of em have their comment section closed. what a simulation we are living in 😂#MahsaAmini https://t.co/WmhDPY6AWX",en,1,2022-12-15 00:26:44+00:00,"Charlottesville, VA"
siavashjafarii,"This tweet from #HosseinRonaghi is beyond bizarre!    I am starting to believe that this account is managed by the hardline/IRGC intelligence affiliates to discredit and cancel moderate and pro-diplomacy voices in the West!    And as usual, they are unprofessional and super shallow! https://t.co/ytXpejPNTr",en,1,2022-12-14 23:39:18+00:00,"Vancouver, British Columbia"
Neekiiiiiii,@M3Raanaa @kshahrooz @marcowenjones @NIACouncil @HosseinRonaghi @NazaninNour @barbaraslavin1 Just to make him cry more I have couple more hashtags #HosseinRonaghi #MohsenShekari #MahsaAmini #MehdiKarami,en,0,2022-12-14 20:44:49+00:00,HomeSweetHome
mobinanahao2,@iranhrs99 #ToomajSalehi #MajidrezaRahnavard #MajidTavakoli #SamanYasin #MohammadBroghani #MostafaNili #HosseinRonaghi #FatemehSepehri #MohsenShekari #MohammadGhobadlou      #MohmmadRakhshani          Attention to Islamic regime of Iran  You have no right to execute   inncent revolutionary https://t.co/SmEohP0qWi,en,1,2022-12-14 20:05:00+00:00,
___Sepid___,Take your hands off of our throats✊🏻  #MahsaAmini  #HosseinRonaghi  #IranRevolution2022 https://t.co/hmvKjG9J3F,en,0,2022-12-14 19:49:45+00:00,"Bay Area, CA "
ZanZendegi_Azad,#kymyatehrani ask @UNICEF_IRAN @UNICEF; why you are silent? #Kian_Pirfalak #کیان_پیرفلک    #IranRevoIution2022 #OpIran #MahsaAmini #Saman_Yassin #ToomajSalehi #HosseinRonaghi https://t.co/OoAcSeWNsh,en,4,2022-12-14 19:48:35+00:00,
Yksel73667903,@IOPHRpress @NazaninBoniadi @NazaninAJ @drninaansary @AlirezaNader @UN @UNHumanRights @Europarl_EN @UKParliament @Omid_M @EUCouncil UN Help! #StopExecutionInIran #MahsaAmini   #IranRevolution2022 @UN_HRC   #ElnazRekabi #OpIran #WomanLifeFreedoom #ToomajSalehi #HosseinRonaghi @volker_turk @CBC @CBCStephenQuinn @JustinTrudeau @GlobalBC @nationalpost @globeandmail #KhameneiChildKiller #KianPirfalak,en,4,2022-12-14 17:50:17+00:00,Schweiz
Con_E76,@JasonMBrodsky @UN_CSW It is bullshit.   #StopExecutionInIran #MahsaAmini   #IranRevolution2022 @UN_HRC   #ElnazRekabi #OpIran #WomanLifeFreedoom #ToomajSalehi #HosseinRonaghi @volker_turk @CBC @CBCStephenQuinn @JustinTrudeau @GlobalBC @nationalpost @globeandmail #KhameneiChildKiller #KianPirfalak,en,0,2022-12-14 16:11:10+00:00,Canadia
